State,PVI,Year,Cycle,Incumbency,Result,538 Expected Result
Alabama,-14,2020,On,1,-20,-9
Alaska,-9,2020,On,-1,-31,-6
"Arizona
(Special)",-5,2020,On,-1,6,5
Arkansas,-15,2020,On,-1,-34,
Colorado,1,2020,On,-1,10,8
Delaware,6,2020,On,1,21,31
"Georgia
(Regular)",-5,2020,On,-1,-2,0.3
"Georgia
(Special)",-5,2020,On,-1,,
Idaho,-19,2020,On,-1,-29,-24
Illinois,7,2020,On,1,14,24
Iowa,-3,2020,On,-1,-7,-1.4
Kansas,-13,2020,On,0,-13,-6
Kentucky,-15,2020,On,-1,-20,-13
Louisiana,-11,2020,On,-1,-40,
Maine,3,2020,On,-1,-7,2
Massachusetts,12,2020,On,1,35,34
Michigan,1,2020,On,1,1.5,7
Minnesota,1,2020,On,1,5,12
Mississippi,-9,2020,On,-1,-13,-9
Montana,-11,2020,On,-1,-10,-3
Nebraska,-14,2020,On,-1,-41,-32
New Hampshire,0,2020,On,1,16,17
New Jersey,7,2020,On,1,22,25
New Mexico,3,2020,On,0,5,13
North Carolina,-3,2020,On,-1,-2,3.2
Oklahoma,-20,2020,On,-1,-30,-22
Oregon,5,2020,On,1,19,24
Rhode Island,10,2020,On,1,32,48
South Carolina,-8,2020,On,-1,-14,-5
South Dakota,-14,2020,On,-1,-32,-24
Tennessee,-14,2020,On,0,-27,-23
Texas,-8,2020,On,-1,-10,-7
Virginia,1,2020,On,1,12,18
West Virginia,-19,2020,On,-1,-32,-24
Wyoming,-25,2020,On,-1,-46,-35